Tahun,Tanggal,Beras Kualitas Bawah I,Beras Kualitas Bawah II,Beras Kualitas Medium I,Beras Kualitas Medium II,Beras Kualitas Super I,Beras Kualitas Super II
2020,1/2/2020,9700,9950,11150,11200,12100,12000
2020,1/3/2020,9700,9950,11150,11200,12100,12000
2020,1/6/2020,9700,9950,11150,11200,12100,12000
2020,1/7/2020,9700,9950,11150,11200,12100,12000
2020,1/8/2020,9700,9950,11150,11150,12100,12000
2020,1/9/2020,9700,9950,11150,11200,12100,12000
2020,1/10/2020,9700,9950,11150,11200,12100,12000
2020,1/13/2020,9700,9950,11150,11200,12100,12000
2020,1/14/2020,9700,9950,11150,11200,12100,12000
2020,1/15/2020,9700,9950,11150,11150,12100,12000
2020,1/16/2020,9700,9950,11150,11200,12100,12000
2020,1/17/2020,9700,9950,11150,11200,12100,12000
2020,1/20/2020,9700,9950,11150,11200,12100,12000
2020,1/21/2020,9700,9950,11150,11200,12100,12000
2020,1/22/2020,9700,9950,11150,11200,12100,12000
2020,1/23/2020,9700,9950,11150,11200,12100,12000
2020,1/24/2020,9700,9950,11150,11200,12100,12000
2020,1/27/2020,9700,9950,11150,11200,12100,12000
2020,1/28/2020,9700,9950,11100,11200,12050,12000
2020,1/29/2020,9700,9950,11100,11200,12050,12000
2020,1/30/2020,9700,9950,11100,11200,12050,12000
2020,1/31/2020,9700,9950,11100,11200,12050,12000
2020,2/3/2020,9700,9950,11100,11200,12050,12000
2020,2/4/2020,9700,9950,11100,11200,12050,12000
2020,2/5/2020,9700,9950,11100,11200,12050,12000
2020,2/6/2020,9700,9950,11100,11200,12050,12000
2020,2/7/2020,9700,9950,11100,11200,12050,12000
2020,2/10/2020,9700,9950,11100,11200,12050,12000
2020,2/11/2020,9700,9950,11100,11200,12050,12000
2020,2/12/2020,9700,9950,11100,11200,12050,12000
2020,2/13/2020,9700,9950,11100,11200,12050,12000
2020,2/14/2020,9700,9950,11100,11200,12050,12000
2020,2/17/2020,9700,9950,11100,11200,12050,12000
2020,2/18/2020,9700,9950,11100,11200,12050,12000
2020,2/19/2020,9700,9950,11100,11200,12050,12000
2020,2/20/2020,9700,9950,11100,11200,12050,12000
2020,2/21/2020,9700,9950,10950,11200,12050,12000
2020,2/24/2020,9700,9950,10950,11200,12050,12000
2020,2/25/2020,9700,9950,10950,11200,12050,12000
2020,2/26/2020,9700,9950,10950,11200,12050,12000
2020,2/27/2020,9700,9950,10950,11200,12050,12000
2020,2/28/2020,9700,9950,10950,11200,12050,12000
2020,3/2/2020,9700,9950,10950,11200,12050,12000
2020,3/3/2020,9700,9950,10950,11200,12050,12000
2020,3/4/2020,9700,9950,10950,11200,12050,12000
2020,3/5/2020,9700,9950,10950,11200,12050,12000
2020,3/6/2020,9700,9950,10950,11200,12050,12000
2020,3/9/2020,9700,9900,10950,11150,12050,12000
2020,3/10/2020,9700,9900,10950,11150,12050,12000
2020,3/11/2020,9700,9900,10950,11150,12050,12000
2020,3/12/2020,9500,9900,11050,11100,11950,11750
2020,3/13/2020,9700,9900,10950,11150,12050,12000
2020,3/16/2020,9700,9900,10950,11150,12050,12000
2020,3/17/2020,9700,9900,10950,11150,12050,12000
2020,3/18/2020,9700,9900,10950,11150,12050,12000
2020,3/19/2020,9700,9900,10950,11150,12050,12000
2020,3/20/2020,9700,9900,10950,11150,12050,12000
2020,3/23/2020,9700,9900,10950,11150,12050,12000
2020,3/24/2020,9700,9900,10950,11150,12050,12000
2020,3/26/2020,9700,9900,10950,11150,12050,12000
2020,3/27/2020,9700,9900,10950,11150,12050,12000
2020,3/30/2020,9700,9900,10950,11150,12050,12000
2020,3/31/2020,9700,9900,10950,11150,12050,12000
2020,4/1/2020,9700,9900,10950,11150,12050,12000
2020,4/2/2020,9700,9900,10950,11150,12050,12000
2020,4/3/2020,9700,9900,10950,11150,12050,12000
2020,4/6/2020,9700,9900,10950,11150,12050,12000
2020,4/7/2020,9700,9900,10950,11150,12050,12000
2020,4/8/2020,9700,9900,10950,11150,12050,12000
2020,4/9/2020,9700,9900,10950,11150,12050,12000
2020,4/13/2020,9700,9900,10900,11150,12000,12000
2020,4/14/2020,9700,9900,10900,11150,12000,12000
2020,4/15/2020,9700,9900,10900,11150,12000,12000
2020,4/16/2020,9700,9900,10900,11150,12000,12000
2020,4/17/2020,9700,9900,10900,11150,12000,12000
2020,4/20/2020,9700,9900,10900,11150,12000,12000
2020,4/21/2020,9700,9900,10900,11150,12000,12000
2020,4/22/2020,9700,9900,10900,11150,12000,12000
2020,4/23/2020,9700,9900,10900,11150,12000,12000
2020,4/24/2020,9700,9900,10900,11150,12000,12000
2020,4/27/2020,9700,9900,10900,11150,12000,12000
2020,4/28/2020,9700,9900,10900,11150,12000,12000
2020,4/29/2020,9700,9900,10900,11150,12000,12000
2020,4/30/2020,9700,9900,10900,11150,12000,12000
2020,5/4/2020,9700,9900,10900,11150,12000,12000
2020,5/5/2020,9700,9900,10900,11150,12000,12000
2020,5/6/2020,9700,9900,10900,11150,12000,12000
2020,5/8/2020,9700,9900,10900,11150,12000,12000
2020,5/11/2020,9700,9900,10900,11150,12000,12000
2020,5/12/2020,9700,9900,10900,11150,12000,12000
2020,5/13/2020,9700,9900,10900,11150,12000,12000
2020,5/14/2020,9700,9900,10900,11150,12000,12000
2020,5/15/2020,9700,9900,10900,11150,12000,12000
2020,5/18/2020,9700,9900,10900,11150,12000,12000
2020,5/19/2020,9700,9900,10900,11150,12000,12000
2020,5/20/2020,9700,9900,10900,11150,12000,12000
2020,5/26/2020,9700,9950,10900,11150,12000,12000
2020,5/27/2020,9700,9950,10900,11150,12000,12000
2020,5/28/2020,9700,9950,10900,11150,12050,12000
2020,5/29/2020,9700,9950,10900,11150,12050,12000
2020,6/2/2020,9700,9950,10900,11150,12050,12000
2020,6/3/2020,9700,9950,10900,11150,12050,12000
2020,6/4/2020,9700,9950,10900,11150,12100,12000
2020,6/5/2020,9700,9950,10900,11150,12100,12000
2020,6/8/2020,9700,9950,10900,11150,12100,12000
2020,6/9/2020,9700,9950,10900,11150,12100,12000
2020,6/10/2020,9700,9950,10900,11150,12100,12000
2020,6/11/2020,9700,9950,10900,11150,12100,12000
