Tahun,Tanggal,Beras Kualitas Bawah I,Beras Kualitas Bawah II,Beras Kualitas Medium I,Beras Kualitas Medium II,Beras Kualitas Super I,Beras Kualitas Super II,Temperatur,Curah_Hujan
2020,2020-01-02,9700,9950,11150,11200,12100,12000,25.50833333333334,0.0
2020,2020-01-03,9700,9950,11150,11200,12100,12000,25.83333333333333,1.5
2020,2020-01-06,9700,9950,11150,11200,12100,12000,25.64583333333333,0.6000000000000001
2020,2020-01-07,9700,9950,11150,11200,12100,12000,25.34583333333333,1.5
2020,2020-01-08,9700,9950,11150,11150,12100,12000,25.59583333333333,0.4
2020,2020-01-09,9700,9950,11150,11200,12100,12000,25.3,12.8
2020,2020-01-10,9700,9950,11150,11200,12100,12000,25.90416666666667,0.1
2020,2020-01-13,9700,9950,11150,11200,12100,12000,25.83333333333333,0.2
2020,2020-01-14,9700,9950,11150,11200,12100,12000,26.12916666666667,0.8
2020,2020-01-15,9700,9950,11150,11150,12100,12000,26.07083333333334,0.3
2020,2020-01-16,9700,9950,11150,11200,12100,12000,26.275,0.4
2020,2020-01-17,9700,9950,11150,11200,12100,12000,26.4875,1.0
2020,2020-01-20,9700,9950,11150,11200,12100,12000,26.0625,6.4
2020,2020-01-21,9700,9950,11150,11200,12100,12000,25.50416666666667,13.7
2020,2020-01-22,9700,9950,11150,11200,12100,12000,26.26666666666667,1.1
2020,2020-01-23,9700,9950,11150,11200,12100,12000,26.375,0.5
2020,2020-01-24,9700,9950,11150,11200,12100,12000,26.47083333333333,0.9
2020,2020-01-27,9700,9950,11150,11200,12100,12000,26.67916666666666,1.4
2020,2020-01-28,9700,9950,11100,11200,12050,12000,26.6125,1.6
2020,2020-01-29,9700,9950,11100,11200,12050,12000,25.02083333333333,12.7
2020,2020-01-30,9700,9950,11100,11200,12050,12000,25.55416666666666,0.7000000000000001
2020,2020-01-31,9700,9950,11100,11200,12050,12000,25.6375,1.7
2020,2020-02-03,9700,9950,11100,11200,12050,12000,25.4375,13.5
2020,2020-02-04,9700,9950,11100,11200,12050,12000,25.32916666666667,0.4
2020,2020-02-05,9700,9950,11100,11200,12050,12000,25.21666666666667,0.4
2020,2020-02-06,9700,9950,11100,11200,12050,12000,25.6375,2.2
2020,2020-02-07,9700,9950,11100,11200,12050,12000,24.8375,41.3
2020,2020-02-10,9700,9950,11100,11200,12050,12000,25.07083333333334,12.0
2020,2020-02-11,9700,9950,11100,11200,12050,12000,25.60416666666667,15.9
2020,2020-02-12,9700,9950,11100,11200,12050,12000,24.93333333333333,16.7
2020,2020-02-13,9700,9950,11100,11200,12050,12000,25.65416666666667,17.4
2020,2020-02-14,9700,9950,11100,11200,12050,12000,25.62916666666667,19.2
2020,2020-02-17,9700,9950,11100,11200,12050,12000,26.16666666666667,1.9
2020,2020-02-18,9700,9950,11100,11200,12050,12000,25.18333333333333,3.3
2020,2020-02-19,9700,9950,11100,11200,12050,12000,25.19583333333334,11.5
2020,2020-02-20,9700,9950,11100,11200,12050,12000,25.82083333333334,0.9
2020,2020-02-21,9700,9950,10950,11200,12050,12000,25.8,1.3
2020,2020-02-24,9700,9950,10950,11200,12050,12000,26.05,2.1
2020,2020-02-25,9700,9950,10950,11200,12050,12000,26.13333333333334,3.6
