Tanggal,Bawah I,Bawah II,Medium I,Medium II,Super I,Super II
13/02/2020,9700,9950,11100,11200,12050,12000
14/02/2020,9700,9950,11100,11200,12050,12000
17/02/2020,9700,9950,11100,11200,12050,12000
18/02/2020,9700,9950,11100,11200,12050,12000
19/02/2020,9700,9950,11100,11200,12050,12000
20/02/2020,9700,9950,11100,11200,12050,12000
21/02/2020,9700,9950,10950,11200,12050,12000
24/02/2020,9700,9950,10950,11200,12050,12000
25/02/2020,9700,9950,10950,11200,12050,12000
26/02/2020,9700,9950,10950,11200,12050,12000
27/02/2020,9700,9950,10950,11200,12050,12000
28/02/2020,9700,9950,10950,11200,12050,12000
02/03/2020,9700,9950,10950,11200,12050,12000
03/03/2020,9700,9950,10950,11200,12050,12000
04/03/2020,9700,9950,10950,11200,12050,12000
05/03/2020,9700,9950,10950,11200,12050,12000
06/03/2020,9700,9950,10950,11200,12050,12000
09/03/2020,9700,9900,10950,11150,12050,12000
10/03/2020,9700,9900,10950,11150,12050,12000
11/03/2020,9700,9900,10950,11150,12050,12000
12/03/2020,9500,9900,11050,11100,11950,11750
13/03/2020,9700,9900,10950,11150,12050,12000
16/03/2020,9700,9900,10950,11150,12050,12000
17/03/2020,9700,9900,10950,11150,12050,12000
18/03/2020,9700,9900,10950,11150,12050,12000
19/03/2020,9700,9900,10950,11150,12050,12000
20/03/2020,9700,9900,10950,11150,12050,12000
23/03/2020,9700,9900,10950,11150,12050,12000
24/03/2020,9700,9900,10950,11150,12050,12000
26/03/2020,9700,9900,10950,11150,12050,12000
27/03/2020,9700,9900,10950,11150,12050,12000
30/03/2020,9700,9900,10950,11150,12050,12000
31/03/2020,9700,9900,10950,11150,12050,12000
01/04/2020,9700,9900,10950,11150,12050,12000
02/04/2020,9700,9900,10950,11150,12050,12000
03/04/2020,9700,9900,10950,11150,12050,12000
06/04/2020,9700,9900,10950,11150,12050,12000
07/04/2020,9700,9900,10950,11150,12050,12000
08/04/2020,9700,9900,10950,11150,12050,12000
09/04/2020,9700,9900,10950,11150,12050,12000
13/04/2020,9700,9900,10900,11150,12000,12000
14/04/2020,9700,9900,10900,11150,12000,12000
15/04/2020,9700,9900,10900,11150,12000,12000
16/04/2020,9700,9900,10900,11150,12000,12000
17/04/2020,9700,9900,10900,11150,12000,12000
20/04/2020,9700,9900,10900,11150,12000,12000
21/04/2020,9700,9900,10900,11150,12000,12000
22/04/2020,9700,9900,10900,11150,12000,12000
23/04/2020,9700,9900,10900,11150,12000,12000
24/04/2020,9700,9900,10900,11150,12000,12000
27/04/2020,9700,9900,10900,11150,12000,12000
28/04/2020,9700,9900,10900,11150,12000,12000
29/04/2020,9700,9900,10900,11150,12000,12000
30/04/2020,9700,9900,10900,11150,12000,12000
04/05/2020,9700,9900,10900,11150,12000,12000
05/05/2020,9700,9900,10900,11150,12000,12000
06/05/2020,9700,9900,10900,11150,12000,12000
08/05/2020,9700,9900,10900,11150,12000,12000
11/05/2020,9700,9900,10900,11150,12000,12000
12/05/2020,9700,9900,10900,11150,12000,12000
13/05/2020,9700,9900,10900,11150,12000,12000
14/05/2020,9700,9900,10900,11150,12000,12000
15/05/2020,9700,9900,10900,11150,12000,12000
18/05/2020,9700,9900,10900,11150,12000,12000
19/05/2020,9700,9900,10900,11150,12000,12000
20/05/2020,9700,9900,10900,11150,12000,12000
26/05/2020,9700,9950,10900,11150,12000,12000
27/05/2020,9700,9950,10900,11150,12000,12000
28/05/2020,9700,9950,10900,11150,12050,12000
29/05/2020,9700,9950,10900,11150,12050,12000
02/06/2020,9700,9950,10900,11150,12050,12000
03/06/2020,9700,9950,10900,11150,12050,12000
04/06/2020,9700,9950,10900,11150,12100,12000
05/06/2020,9700,9950,10900,11150,12100,12000
08/06/2020,9700,9950,10900,11150,12100,12000
09/06/2020,9700,9950,10900,11150,12100,12000
10/06/2020,9700,9950,10900,11150,12100,12000
11/06/2020,9700,9950,10900,11150,12100,12000
12/06/2020,9700,9950,10900,11150,12100,12000
15/06/2020,9700,9950,10900,11150,12100,12000
